D_max	Volume	L_x	r_xy	r_xz	Number_of_subvolumes
1.687393	0.885659	1.604251	1.386046	1.14167	2
8.649674	56.06369	8.353366	1.142374	1.076603	130
11.98847	114.615	8.655059	0.8860947	0.7518658	258
14.90792	171.9227	10.11401	1.03546	0.7314922	386
14.90792	225.4973	10.57467	0.896627	0.7496786	514
14.91973	276.9823	11.56301	0.8794932	0.8197457	642
16.64787	322.9507	12.36916	0.8805793	0.7634718	770
17.47728	377.4042	13.37112	0.9192554	0.7853504	898
19.1367	435.7239	14.10186	0.9458621	0.7615309	1026
19.1367	488.2549	14.44481	0.9507149	0.7800511	1154
19.1367	541.71	15.36364	1.01119	0.8296699	1282
19.1367	588.1872	15.84649	1.013466	0.8557447	1410
19.48439	648.5243	16.01122	1.017965	0.8584409	1538
19.91148	700.7114	16.55521	0.9425184	0.8788998	1666
19.91148	754.1744	17.95547	1.022238	0.9443968	1794
20.16287	804.4695	17.95547	1.016953	0.9443968	1922
20.77323	854.1489	19.03538	0.9993349	0.95261	2050
21.43958	903.2771	19.03538	0.9914561	0.9279221	2178
21.60451	957.6968	19.20298	1.000186	0.9360922	2306
