D_max	Volume	L_x	r_xy	r_xz	Number_of_subvolumes
3.348259	7.085272	2.305429	0.7294039	0.8007655	2
16.37779	426.8344	12.53408	0.8515958	0.853064	130
19.20579	805.669	15.37509	0.8512862	0.7928889	258
21.38331	1233.239	17.18219	0.8072559	0.8303138	386
25.19608	1622.701	21.05395	0.8358002	1.003927	514
27.32719	2102.822	22.29633	0.8391644	0.9338943	642
27.90142	2501.877	25.05145	0.9207615	1.012193	770
29.97373	2951.519	27.8382	0.9627389	1.106869	898
30.94633	3421.82	27.8382	0.9352901	1.049973	1026
31.17829	3874.459	27.93771	0.9143096	0.9745251	1154
32.64031	4353.229	30.88028	1.01061	1.035836	1282
34.18024	4784.983	32.77512	1.018527	1.046024	1410
34.3743	5263.477	33.51761	1.00116	1.064691	1538
37.75533	5715.912	34.26065	0.9277226	0.9719356	1666
38.24274	6137.357	34.26065	0.9008595	0.9719356	1794
38.93552	6551.686	34.26065	0.9008595	0.9719356	1922
39.99232	6875.332	34.26065	0.8719463	0.967895	2050
41.01408	7230.727	34.91325	0.8885552	0.9492472	2178
41.09095	7663.924	34.91325	0.8741683	0.9492472	2306
41.09095	8090.093	36.96225	0.9254715	0.9837475	2434
41.90356	8500.222	36.96225	0.9071486	0.9837475	2562
43.78316	8865.772	37.69347	0.8908622	0.9950615	2690
43.78316	9282.055	39.57328	0.9352904	1.013729	2818
43.83262	9704.558	39.71595	0.9386622	0.9788921	2946
43.83262	10102.03	39.89802	0.9429653	0.9662967	3074
43.83262	10522.91	40.11349	0.9480578	0.9561608	3202
44.86529	10883.16	40.11349	0.9081354	0.9396004	3330
46.27662	11274.66	40.51297	0.912412	0.9489577	3458
46.48511	11586.36	40.51297	0.912412	0.9489577	3586
46.48511	11963.24	41.19419	0.9277542	0.9649143	3714
46.91513	12374.32	42.45695	0.9521988	0.9944926	3842
46.91513	12735.02	42.92125	0.9626118	1.005368	3970
47.51604	13119.98	42.92125	0.9213383	0.9658493	4098
49.05946	13567.33	45.40797	0.9747179	0.9837198	4226
49.05946	13972.51	45.75234	0.9821101	0.9682074	4354
49.05946	14397.52	45.75234	0.9821101	0.9682074	4482
49.05946	14790.59	45.75234	0.9821101	0.9666539	4610
49.05946	14901.13	45.75234	0.9821101	0.9666539	4651
51.14273	15225.9	45.75234	0.9330705	0.9666539	4779
